,Location,Wine Ratings,Lat,Lng,Soil Temperature (C) at 10 cm depth,Soil Moisture
0,"Adelaida District,California",90.7,35.645397,-120.874138,9.25,0.256
1,"Albemarle County,Virginia",86.0,38.0567092,-78.6114999,8.55,0.187
2,"Alexander Valley,California",88.16091954022988,38.6129647,-122.7694345,7.93,0.298
3,"Alta Mesa,California",87.18181818181819,37.398829,-122.1346859,10.07,0.335
4,"Amador County,California",86.8391167192429,38.3488921,-120.7740931,9.33,0.19
5,"Amador-Napa,California",84.0,38.293481,-122.24972,9.58,0.342
6,"Ancient Lakes,Washington",86.875,47.1508517,-119.9631178,4.06,0.189
7,"Anderson Valley,California",90.1497005988024,39.0865657,-123.4794542,7.6,0.301
8,"Anderson Valley-Sonoma County-Cole Ranch,California",87.0,39.0865657,-123.4794542,7.6,0.301
9,"Applegate Valley,Oregon",86.87096774193549,42.2570662,-123.1683833,3.82,0.219
10,"Arizona,Arizona",84.63636363636364,34.0489281,-111.0937311,8.84,0.058
11,"Arroyo Grande Valley,California",90.26737967914438,35.1443363,-120.543623,8.86,0.262
12,"Arroyo Seco,California",87.82456140350877,36.4135756,-121.3424305,8.56,0.137
13,"Atlas Peak,California",88.225,38.450743,-122.2627529,8.63,0.296
14,"Augusta,Missouri",85.53846153846153,38.5725523,-90.882081,7.68,0.265
15,"Ballard Canyon,California",90.9090909090909,34.6354195,-120.1479918,7.73,0.197
16,"Ben Lomond Mountain,California",86.72222222222223,37.1310577,-122.1680218,10.48,0.311
18,"Calaveras County,California",88.52702702702703,38.1960477,-120.6805037,9.3,0.158
19,"California,California",85.3648393194707,35.125801,-117.9859038,8.68,0.103
20,"California-Oregon,California",84.0,39.59388999999999,-121.52833,8.0,0.358
21,"California-Washington,California",89.0,39.3590873,-120.7999351,4.46,0.3
22,"Calistoga,California",89.1,38.5787965,-122.5797054,7.84,0.294
23,"Capay Valley,California",90.0,38.7107366,-122.0471933,9.06,0.33
24,"Carmel Valley,California",86.83333333333333,36.4799024,-121.7327931,10.65,0.36
25,"Carneros,California",88.76785714285714,38.2554723,-122.3349422,9.12,0.319
26,"Carneros-Napa Valley,California",90.16666666666667,38.2554723,-122.3349422,9.12,0.319
27,"Cayuga Lake,New York",86.23333333333333,42.6776693,-76.6990172,-1.04,0.209
28,"Central Coast,California",85.9454926624738,36.9915398,-119.7889248,9.21,0.119
29,"Central Valley,California",89.0,40.19987769999999,-122.2011075,7.96,0.316
30,"Chalk Hill,California",89.3076923076923,38.6037982,-122.7772125,7.93,0.298
31,"Chalone,California",89.3076923076923,36.4701378,-121.2298315,8.56,0.137
32,"Chehalem Mountains,Oregon",89.9780701754386,45.3762277,-123.037326,6.09,0.258
33,"Chelan County,Washington",86.64285714285714,47.9445331,-120.6749068,0.17,0.243
34,"Chiles Valley,California",87.08333333333333,38.5329633,-122.3271994,7.97,0.294
35,"Cienega Valley,California",85.25,36.7099602,-121.3349326,9.17,0.145
36,"Clarksburg,California",85.52542372881356,38.4198403,-121.5294026,10.95,0.355
37,"Clear Lake,California",85.26829268292683,38.9582307,-122.6263728,6.44,0.311
38,"Clements Hills,California",86.70833333333333,34.0692636,-118.4050802,11.41,0.117
39,"Cochise County,Arizona",85.0,31.82845799999999,-109.949686,10.88,0.072
40,"Cole Ranch,California",85.88888888888889,35.9733,-119.035202,8.75,0.16
41,"Colorado,Colorado",83.5,39.5500507,-105.7820674,-7.77,0.066
42,"Columbia Gorge (OR),Oregon",89.06976744186046,45.7247667,-121.5718789,4.08,0.231
43,"Columbia Gorge (WA),Washington",89.76923076923077,47.4537758,-120.3251007,2.28,0.21
44,"Columbia Valley (OR),Oregon",87.71666666666667,47.4537758,-120.3251007,2.28,0.21
45,"Columbia Valley (WA),Washington",88.80575789108568,47.4537758,-120.3251007,2.28,0.21
46,"Columbia Valley-Walla Walla Valley,Washington",87.0,46.1721497,-118.2026998,6.21,0.163
47,"Contra Costa County,California",85.73076923076923,37.8534093,-121.9017954,10.29,0.38
48,"Coombsville,California",90.4,38.2971707,-122.2864459,9.12,0.319
49,"Cucamonga Valley,California",86.27272727272727,34.1120955,-117.5776336,9.09,0.09
50,"Diamond Mountain District,California",91.0,38.54334530000001,-122.578433,7.84,0.294
51,"Dry Creek Valley,California",87.39334637964775,38.61054,-122.873166,8.04,0.322
52,"Dundee Hills,Oregon",90.15320334261838,45.2721648,-123.0163892,6.01,0.26
53,"Dunnigan Hills,California",84.89473684210526,38.794346,-121.9552466,9.0,0.318
54,"Edna Valley,California",88.58119658119658,35.2170004,-120.6075179,8.86,0.262
55,"El Dorado County,California",86.95,38.74263759999999,-120.4357631,3.25,0.216
56,"El Dorado,California",86.49753694581281,38.74263759999999,-120.4357631,3.25,0.216
57,"El Pomar District,California",91.0,35.5551416,-120.6125891,8.42,0.207
58,"Elkton Oregon,Oregon",89.28571428571429,43.6376174,-123.568152,5.58,0.282
60,"Fair Play,California",87.3076923076923,38.5935173,-120.6604855,6.73,0.192
61,"Fiddletown,California",87.87096774193549,38.5039105,-120.7565689,8.79,0.195
62,"Finger Lakes,New York",86.62237762237763,42.7238165,-76.9297247,-0.94,0.203
63,"Fort Ross-Seaview,California",93.03846153846153,38.5142596,-123.2435574,9.91,0.725
64,"Grand River Valley,Ohio",84.41666666666667,41.7594983,-80.95366419999999,0.31,0.185
65,"Grand Valley,Colorado",84.66666666666667,39.0638705,-108.5506486,0.27,0.186
66,"Green Valley,California",90.69897959183673,34.6216542,-118.4139702,6.59,0.071
67,"Guenoc Valley,California",87.57692307692308,38.7359634,-122.5283555,7.43,0.302
68,"Hames Valley,California",88.0,35.8744105,-120.8346229,7.76,0.168
69,"Happy Canyon of Santa Barbara,California",88.44642857142857,34.4206415,-119.6994278,9.52,0.196
70,"High Valley,California",85.56756756756756,39.0528068,-122.6947124,5.76,0.304
71,"Horse Heaven Hills,Washington",88.79906542056075,46.13318779999999,-119.8678139,6.82,0.162
72,"Howell Mountain,California",91.17361111111111,38.58139,-122.45,7.84,0.294
73,"Hudson River Region,New York",86.86666666666666,41.9209018,-73.9612887,2.22,0.14
74,"Humboldt County,California",89.875,40.7450055,-123.8695086,5.38,0.29
75,"Idaho,Idaho",84.27272727272727,44.0682019,-114.7420408,-2.35,0.144
76,"Iowa,Iowa",83.33333333333333,41.8780025,-93.097702,4.92,0.199
77,"Isle St. George,Ohio",81.0,41.72171489999999,-82.82018719999999,0.3,0.218
78,"Jahant,California",83.0,38.2042085,-121.193988,11.2,0.226
79,"Kentucky,Kentucky",82.66666666666667,37.8393332,-84.2700179,6.2,0.306
